Gene,Cluster
APLP2,0
PSMB8.AS1,0
RPL7P9,4
LRRC8C,0
CD101,0
SYNGR2,4
ICOSLG,0
SSPN,0
APOC4.APOC2,0
TNFAIP8L3,0
TCF4,0
S100B,0
SOCS3,0
HS3ST3B1,0
FMNL2,0
ST6GAL1,0
ANTXR2,0
HMGB1,4
ZC3H12A,0
ZFP36L1,4
LILRA2,4
HAVCR2,0
IER5,0
MATK,0
SAMSN1,0
SEMA7A,0
MNDA,0
EPB41L3,0
SLAMF7,0
RAPH1,0
ACVR1,0
C3AR1,4
CREG1,0
ABCA1,0
IL1RN,0
GNS,4
SRXN1,0
REL,0
SOX4,0
FCMR,0
STMN1,0
DCSTAMP,0
CSRP1,4
NUMB,0
ABL2,0
ARID5A,0
PRKCB,0
NFE2L3,0
CTSD,0
TNRC6C.AS1,0
MEF2A,0
MIR503HG,0
MRC2,0
BATF3,0
HS2ST1,0
CD300LF,0
HBEGF,0
ARHGAP26,0
HCAR1,4
H3F3AP4,0
MX2,0
CALHM6,0
NME7,4
DUSP4,0
MINPP1,0
MFSD12,0
OLR1,0
LRRC28,0
TLE3,0
CCPG1,4
ZNF333,0
HMGA2,0
BTG3,0
ITGA5,0
KDM6B,0
RPL7P1,4
SCD,0
PEA15,0
P2RX7,0
VEGFA,0
BTN3A2,0
TUBB4B,0
CD86,0
GPR68,0
ATF3,0
RHOH,0
SETD6,0
HMGCR,0
GM2A,0
KPNA2,0
SPATS2L,0
DCK,0
NFATC3,0
SPP1,0
SMAD6,0
CCNB2,0
FAM111A,0
MARCKSL1,0
CALU,4
CSTA,0
PECAM1,4
ENC1,0
MEF2C,0
OTOAP1,0
EMB,0
LDLR,0
IL1RAP,0
SESN2,0
QSOX1,0
MIF4GD,0
MTATP6P1,1
RPS2P5,0
DUSP2,0
ACER3,0
GBP1P1,0
FZD7,0
CPEB2,0
CKS2,4
IL18RAP,0
FCGR2A,0
CDK6,0
NOMO1,0
TPST2,0
PAICS,0
ZFP36L2,0
MYO7A,0
RPL18AP3,4
HMOX1,0
DKC1,0
LBR,0
TXNIP,4
SCARB2,0
CASP1,0
IL6R,0
EGR2,4
ITM2C,0
PCNA,0
GAL,0
PLXNA1,0
FILIP1L,0
PTGER4,0
NQO1,0
TNFRSF1B,0
RUNX1,0
TRAF1,0
RPLP0P2,0
MMP25,0
RRAGD,0
PDIA6,0
ZNF804A,0
PILRA,0
BRD7,0
TRAF4,0
PRNP,0
HEG1,0
NME1.NME2,0
BCL2L2.PABPN1,0
RNASET2,0
TNFRSF21,0
CLEC10A,0
MCEMP1,0
SLC7A2,0
FPR1,0
IFIT1,0
JAG1,0
PRXL2B,0
TFDP1,0
FEM1C,0
FEN1,0
C1orf162,0
GALNT12,0
TMPO,0
SORL1,0
EBI3,0
BEX1,0
HK2,0
TDRD3,0
FNIP2,0
PRPS2,0
CXCR3,0
EEF1B2P6,0
RPL7P32,0
CYP1B1,0
IL2RA,0
TIMP2,0
TRIB3,0
CYP19A1,0
DLX1,0
SYK,0
GCLC,0
ADD3,0
IVNS1ABP,0
TTYH3,0
CYSLTR1,0
SLC30A1,0
JAML,0
AQP3,0
RAMAC,0
EEF1A1P6,4
SLA,0
TMEM140,0
SLC35E2A,0
DUT,0
PHGDH,0
FKBP4,0
PDP1,0
PRDM1,0
RPL22P1,0
NBPF15,0
ABCC4,0
SLCO4C1,0
MTHFD1L,0
WASH3P,0
HPGD,0
RPS3AP6,0
FOS,0
PRPF39,0
EPHB2,0
AK4,0
SDC4,0
GATD3B,0
SATB1,0
SEMA4A,0
FGR,0
RASA3,0
RTN1,0
PGBD5,0
ITGAV,0
TMEM251,0
FAM126A,0
SLC41A2,0
FAM30A,0
PSME2P2,0
LMO4,0
IL16,0
CNR2,0
VSIR,0
SLC2A1,0
RSAD2,0
FAM72B,0
LILRB3,0
GUCY1A2,0
RPL23AP2,0
VWF,0
PSD3,0
RPL4P4,0
APOL1,0
IL32,0
SDC2,0
SLC26A11,0
C3,0
MFGE8,0
SMC4,0
TNFAIP3,0
FCGR1CP,0
CD40,0
WASH2P,0
FABP5P7,0
SLC25A37,0
RPL21P119,0
NEDD9,0
RAB6B,0
NRP1,0
HCAR2,0
GTF3C5,0
ARHGEF6,0
RPL23AP42,0
CXCR4,0
RPL23AP65,0
CBWD2,0
NOMO3,0
OTOA,0
DNAJB1,0
NBEAL1,0
LRG1,0
RPL12P4,0
SEL1L3,0
OTUD1,0
RHOBTB2,0
CTSL,0
HSP90B1,0
MCM5,0
MSI2,0
MCM3,0
IL24,0
CITED2,0
STX11,0
CD276,0
CCL4,0
USP18,0
CRIM1,0
SIAE,0
TGIF1,0
DDIT4,0
NOL4L,0
FKBP5,0
ATP2B1,0
RARRES3,0
TM4SF19,0
FCRL4,0
FAM47E.STBD1,0
SH3BP5,0
