Gene,Cluster
APLP2,4
PSMB8.AS1,4
RPL7P9,4
LRRC8C,4
CD101,4
SYNGR2,0
ICOSLG,4
SSPN,4
APOC4.APOC2,4
TNFAIP8L3,4
TCF4,4
S100B,4
SOCS3,4
HS3ST3B1,4
FMNL2,4
ST6GAL1,4
ANTXR2,4
HMGB1,0
ZC3H12A,4
ZFP36L1,0
LILRA2,4
HAVCR2,4
IER5,4
MATK,4
SAMSN1,4
SEMA7A,4
MNDA,4
EPB41L3,4
SLAMF7,4
RAPH1,4
ACVR1,4
C3AR1,4
CREG1,4
ABCA1,4
IL1RN,4
GNS,4
SRXN1,4
REL,4
SOX4,4
FCMR,4
STMN1,4
DCSTAMP,4
CSRP1,4
NUMB,4
ABL2,4
ARID5A,4
PRKCB,4
NFE2L3,4
CTSD,4
TNRC6C.AS1,4
MEF2A,4
MIR503HG,4
MRC2,4
BATF3,4
HS2ST1,4
CD300LF,4
HBEGF,4
ARHGAP26,4
HCAR1,4
H3F3AP4,4
MX2,4
CALHM6,4
NME7,4
DUSP4,4
MINPP1,4
MFSD12,4
OLR1,4
LRRC28,4
TLE3,4
CCPG1,0
ZNF333,4
HMGA2,4
BTG3,4
ITGA5,4
KDM6B,4
RPL7P1,4
SCD,4
PEA15,4
P2RX7,4
VEGFA,4
BTN3A2,4
TUBB4B,4
CD86,4
GPR68,4
ATF3,4
RHOH,4
SETD6,4
HMGCR,4
GM2A,4
KPNA2,4
SPATS2L,4
