Gene,Cluster
APLP2,4
PSMB8.AS1,3
RPL7P9,4
LRRC8C,4
CD101,3
SYNGR2,0
ICOSLG,4
SSPN,3
APOC4.APOC2,4
TNFAIP8L3,4
TCF4,4
S100B,4
SOCS3,4
HS3ST3B1,4
FMNL2,4
ST6GAL1,4
ANTXR2,4
HMGB1,0
ZC3H12A,4
ZFP36L1,4
LILRA2,4
HAVCR2,4
IER5,4
MATK,4
SAMSN1,4
SEMA7A,4
MNDA,3
EPB41L3,4
SLAMF7,3
RAPH1,3
ACVR1,3
C3AR1,4
CREG1,4
ABCA1,3
IL1RN,4
GNS,4
SRXN1,4
REL,4
SOX4,4
FCMR,4
STMN1,4
DCSTAMP,3
CSRP1,4
NUMB,4
ABL2,4
ARID5A,4
PRKCB,4
NFE2L3,3
CTSD,4
TNRC6C.AS1,3
MEF2A,4
MIR503HG,3
MRC2,3
BATF3,3
HS2ST1,4
CD300LF,3
HBEGF,3
ARHGAP26,3
HCAR1,4
H3F3AP4,4
MX2,3
CALHM6,3
NME7,4
DUSP4,4
MINPP1,4
MFSD12,3
OLR1,3
LRRC28,4
TLE3,3
CCPG1,0
ZNF333,4
HMGA2,4
BTG3,4
ITGA5,3
KDM6B,3
RPL7P1,4
SCD,4
PEA15,3
P2RX7,3
VEGFA,3
BTN3A2,3
TUBB4B,4
CD86,3
GPR68,4
ATF3,4
RHOH,4
SETD6,3
HMGCR,3
GM2A,4
KPNA2,4
SPATS2L,3
DCK,4
NFATC3,4
SPP1,3
SMAD6,3
CCNB2,4
FAM111A,4
MARCKSL1,3
CALU,4
CSTA,3
PECAM1,0
ENC1,3
MEF2C,4
OTOAP1,3
EMB,4
LDLR,3
IL1RAP,3
SESN2,3
QSOX1,4
MIF4GD,4
MTATP6P1,5
RPS2P5,4
DUSP2,3
ACER3,4
GBP1P1,3
FZD7,3
CPEB2,3
CKS2,4
IL18RAP,3
FCGR2A,3
CDK6,4
NOMO1,4
TPST2,3
PAICS,4
ZFP36L2,4
MYO7A,3
RPL18AP3,0
HMOX1,3
DKC1,3
LBR,4
TXNIP,4
SCARB2,4
CASP1,3
IL6R,4
EGR2,4
ITM2C,3
PCNA,4
GAL,3
PLXNA1,3
FILIP1L,3
PTGER4,4
NQO1,3
TNFRSF1B,3
RUNX1,3
TRAF1,3
RPLP0P2,3
MMP25,3
RRAGD,3
PDIA6,4
ZNF804A,3
PILRA,4
BRD7,4
TRAF4,3
PRNP,4
HEG1,3
NME1.NME2,4
BCL2L2.PABPN1,3
RNASET2,4
TNFRSF21,3
CLEC10A,3
MCEMP1,3
SLC7A2,3
FPR1,3
IFIT1,3
JAG1,3
PRXL2B,4
TFDP1,4
FEM1C,3
FEN1,3
C1orf162,4
GALNT12,3
TMPO,4
SORL1,3
EBI3,3
BEX1,3
HK2,3
TDRD3,3
FNIP2,4
PRPS2,3
CXCR3,3
EEF1B2P6,4
RPL7P32,3
CYP1B1,4
IL2RA,4
TIMP2,3
TRIB3,3
CYP19A1,3
DLX1,3
SYK,3
GCLC,4
ADD3,4
IVNS1ABP,4
TTYH3,3
CYSLTR1,4
SLC30A1,3
JAML,3
AQP3,3
RAMAC,3
EEF1A1P6,4
SLA,3
TMEM140,3
SLC35E2A,3
DUT,3
PHGDH,3
FKBP4,3
PDP1,3
PRDM1,3
RPL22P1,4
NBPF15,3
ABCC4,4
SLCO4C1,3
MTHFD1L,3
WASH3P,3
HPGD,3
RPS3AP6,4
FOS,3
PRPF39,3
EPHB2,3
AK4,3
SDC4,3
GATD3B,4
SATB1,3
SEMA4A,3
FGR,3
RASA3,3
RTN1,3
PGBD5,3
ITGAV,3
TMEM251,3
FAM126A,3
SLC41A2,3
FAM30A,3
PSME2P2,3
LMO4,3
IL16,4
CNR2,3
VSIR,3
SLC2A1,3
RSAD2,3
FAM72B,3
LILRB3,3
GUCY1A2,3
RPL23AP2,3
VWF,3
PSD3,3
RPL4P4,3
APOL1,3
IL32,3
SDC2,3
SLC26A11,3
C3,3
MFGE8,3
SMC4,3
TNFAIP3,4
FCGR1CP,3
CD40,3
WASH2P,3
FABP5P7,3
SLC25A37,3
RPL21P119,3
NEDD9,4
RAB6B,3
NRP1,4
HCAR2,3
GTF3C5,3
ARHGEF6,3
RPL23AP42,4
CXCR4,3
RPL23AP65,3
CBWD2,3
NOMO3,3
OTOA,3
DNAJB1,3
NBEAL1,4
LRG1,3
