Gene,Cluster
WARS,4
TMSB10,2
GBP2,0
SOD2,0
STAT1,0
CCL2,2
IFIT3,0
B2M,2
HLA.B,4
APOL6,0
PLEK,0
ACTG1,4
IFITM2,3
GBP1,3
TAP1,0
ISG15,3
LAP3,3
CD53,0
RAB31,0
TIMP1,4
GBP5,1
TUBA1B,4
NCF1C,3
PSME2,3
MT2A,3
TNFAIP2,3
TNFSF10,3
MTHFD2,0
ISG20,1
VIM,4
PSTPIP2,3
MALAT1,4
LCP1,4
TRIM22,1
CCL5,0
HLA.E,0
CDKN1A,0
CSF2RB,3
PIM1,0
ICAM1,3
CTSS,3
IFI6,3
PSMB9,3
LPCAT2,0
APOL2,3
CXCL10,1
CNDP2,0
LCP2,0
IFIT2,3
TANK,0
FCGR1A,3
SAT1,0
NAMPT,1
FTL,2
PTPRC,0
STK24,0
RTN4,0
TAPBP,0
FAM107B,0
PSMB10,3
PLSCR1,3
TNFSF13B,1
FYB1,3
RALA,3
NCF1,3
GDI2,0
SLC2A3,3
SUCNR1,0
TUBB,0
LACTB,3
SAMD9L,3
PHLDA1,0
ALOX5AP,4
IFI30,1
CEBPB,3
PMAIP1,0
A2M,3
SLC31A2,3
MSRB1,3
PSMB8,3
SRGN,3
TSC22D1,0
RHOQ,3
PARP9,3
TAP2,1
SQOR,3
CCL1,4
DAPP1,1
RNF213,1
CLIC4,3
GK,1
DUSP5,3
PAK1,3
S100A6,3
DDX21,3
PLAUR,3
IRF1,3
CA2,0
EMP1,0
HERPUD1,1
IFITM1,1
CYTOR,3
HMGN3,3
FCGR1B,1
SP110,3
LMNA,3
LITAF,0
EDEM1,3
TUBA1A,0
IFI16,1
SLC7A11,3
PSAT1,3
ATP6V1B2,3
HIF1A,1
ITGB7,3
LYSMD2,1
RPL6,4
GLUL,1
ATP6AP2,0
BHLHE40,3
MALT1,3
SQSTM1,3
PSAP,3
TMEM158,1
BST2,1
TRIB1,0
MB,3
XRN1,1
CD300A,3
CD69,3
ITGAX,3
NRN1,1
DTX3L,1
RGS16,1
STAT2,1
TRIM25,1
FCER1G,4
RPS10,4
NMI,1
TPM4,1
BCAT1,3
GBP3,1
P2RY14,1
NFKBIA,3
CSTB,0
STAT3,1
SLC16A3,3
ERAP2,1
CXCL8,3
PLP2,0
SMAD3,1
IFI35,1
SLAMF8,1
KDSR,1
CYBB,1
FLNA,1
NAMPTP1,1
ADGRE5,1
ANKRD22,1
DNAJC25.GNG10,1
NPC2,3
GLIPR1,1
ITGB2,0
UBD,1
BCL2A1,1
IDI1,3
CPD,1
SH3BP2,1
MIR4435.2HG,1
GSTO1,3
CCND2,3
OAS3,1
SMAD7,1
NBN,1
PRDX1,4
RGS1,3
TSPAN14,1
H2AFZ,0
ATP6AP1,3
MTND1P23,1
FTH1,2
SLC3A2,1
CHI3L1,0
LTB,1
SOCS1,1
ABHD2,1
SQLE,3
MYADM,1
BHLHE41,1
TMEM109,1
UPP1,1
NOTCH2,1
LAT2,3
IL18BP,1
SNX9,1
ITPR1,1
TIFA,1
IRF9,1
NCOA7,1
ZCCHC2,1
RGCC,1
FURIN,1
NPTN,3
NLRC5,1
DBI,4
ZFP36,1
IGSF6,1
TNF,3
IL1B,1
AHNAK,1
GCLM,1
ANXA1,1
SLC43A2,1
ACSL1,1
SLC5A3,1
CMPK2,1
UCP2,1
FAM129A,1
RPL9P9,4
PTAFR,1
TXNRD1,1
TAGAP,1
AMD1,1
EIF2AK2,1
STK38L,1
CTSB,1
P2RX4,1
GABARAPL1,1
CD274,1
DEK,1
RASSF2,1
MSMO1,1
MREG,1
KRT3,1
HMGCS1,1
SAMHD1,1
MRNIP,3
AIF1,1
TRIM69,1
AHCYL1,1
TNFSF14,1
RPS28P7,0
RILP,1
DDX60L,1
GLRX,1
TGM5,1
MIR155HG,1
B4GALT5,1
RIPK2,1
COX5B,0
